"Time","spgwu2","spgwu"
2022-07-25 21:07:45,0.500,0.600
2022-07-25 21:08:00,0.533,16.5
2022-07-25 21:08:15,0.533,22.1
2022-07-25 21:08:30,59.6,89.2
2022-07-25 21:08:45,80.5,110
2022-07-25 21:09:00,117,40.5
2022-07-25 21:09:15,117,40.5
2022-07-25 21:09:30,91.6,162
2022-07-25 21:09:45,91.6,162
2022-07-25 21:10:00,122,70.9
2022-07-25 21:10:15,122,70.9
2022-07-25 21:10:30,85.8,92.4
2022-07-25 21:10:45,85.8,92.4
2022-07-25 21:11:00,94.3,87.1
2022-07-25 21:11:15,94.3,87.1
2022-07-25 21:11:30,45.3,76.1
2022-07-25 21:11:45,45.3,76.1
2022-07-25 21:12:00,71.3,65.1
2022-07-25 21:12:15,71.3,65.1
2022-07-25 21:12:30,76.1,64.0
2022-07-25 21:12:45,76.1,64.0
2022-07-25 21:13:00,64.2,72.6
2022-07-25 21:13:15,64.2,72.6
2022-07-25 21:13:30,79.5,74.4
2022-07-25 21:13:45,79.5,74.4
2022-07-25 21:14:00,65.9,58.3
2022-07-25 21:14:15,65.9,58.3
2022-07-25 21:14:30,59.1,43.4
2022-07-25 21:14:45,59.1,43.4
2022-07-25 21:15:00,69.5,120
2022-07-25 21:15:15,69.5,120
2022-07-25 21:15:30,104,115
2022-07-25 21:15:45,104,115
2022-07-25 21:16:00,150,103
2022-07-25 21:16:15,150,103
2022-07-25 21:16:30,106,75.8
2022-07-25 21:16:45,106,75.8
2022-07-25 21:17:00,64.3,127
2022-07-25 21:17:15,64.3,127
2022-07-25 21:17:30,174,140
2022-07-25 21:17:45,174,140
2022-07-25 21:18:00,137,88.3
2022-07-25 21:18:15,137,88.3
2022-07-25 21:18:30,147,197
2022-07-25 21:18:45,147,197
2022-07-25 21:19:00,72.5,111
2022-07-25 21:19:15,72.5,111
2022-07-25 21:19:30,171,159
2022-07-25 21:19:45,171,159
2022-07-25 21:20:00,175,149
2022-07-25 21:20:15,175,149
2022-07-25 21:20:30,123,115
2022-07-25 21:20:45,123,115
2022-07-25 21:21:00,140,157
2022-07-25 21:21:15,140,157
2022-07-25 21:21:30,142,97.5
2022-07-25 21:21:45,142,97.5
2022-07-25 21:22:00,82.2,132
2022-07-25 21:22:15,82.2,132
2022-07-25 21:22:30,146,120
