"Time","{container=""POD"", endpoint=""https-metrics"", id=""/kubepods/besteffort/pod3db28395-2137-47dc-bd8e-65dcd590e8c6/8261f072fdfd0ae72711f0bbb57b458bf58187aa65f6a0608aca56ab18409ea0"", image=""k8s.gcr.io/pause:3.4.1"", instance=""10.0.1.67:10250"", interface=""net2"", job=""kubelet"", metrics_path=""/metrics/cadvisor"", name=""k8s_POD_oai-spgwu-5fd5bb6d57-6v648_oai_3db28395-2137-47dc-bd8e-65dcd590e8c6_0"", namespace=""oai"", node=""soc-worker3"", pod=""oai-spgwu-5fd5bb6d57-6v648"", service=""kubelet""}"
2022-07-23 16:29:00,0.667
2022-07-23 16:29:15,0.667
2022-07-23 16:29:30,0.467
2022-07-23 16:29:45,0.467
2022-07-23 16:30:00,0.833
2022-07-23 16:30:15,0.833
2022-07-23 16:30:30,42.0
2022-07-23 16:30:45,42.0
2022-07-23 16:31:00,69.7
2022-07-23 16:31:15,69.7
2022-07-23 16:31:30,72.1
2022-07-23 16:31:45,72.1
2022-07-23 16:32:00,68.4
2022-07-23 16:32:15,68.4
2022-07-23 16:32:30,56.7
2022-07-23 16:32:45,56.7
2022-07-23 16:33:00,72.9
2022-07-23 16:33:15,72.9
2022-07-23 16:33:30,23.1
2022-07-23 16:33:45,23.1
2022-07-23 16:34:00,49.9
2022-07-23 16:34:15,49.9
2022-07-23 16:34:30,56.2
2022-07-23 16:34:45,56.2
2022-07-23 16:35:00,49.4
2022-07-23 16:35:15,49.4
2022-07-23 16:35:30,38.2
2022-07-23 16:35:45,38.2
2022-07-23 16:36:00,46.3
2022-07-23 16:36:15,46.3
2022-07-23 16:36:30,43.9
2022-07-23 16:36:45,43.9
2022-07-23 16:37:00,59.8
2022-07-23 16:37:15,59.8
2022-07-23 16:37:30,75.7
2022-07-23 16:37:45,75.7
2022-07-23 16:38:00,63.3
2022-07-23 16:38:15,63.3
2022-07-23 16:38:30,74.5
2022-07-23 16:38:45,74.5
2022-07-23 16:39:00,71.7
2022-07-23 16:39:15,71.7
2022-07-23 16:39:30,72.9
2022-07-23 16:39:45,72.9
2022-07-23 16:40:00,99.2
2022-07-23 16:40:15,99.2
2022-07-23 16:40:30,85.6
2022-07-23 16:40:45,85.6
2022-07-23 16:41:00,100
2022-07-23 16:41:15,100
2022-07-23 16:41:30,96.4
2022-07-23 16:41:45,96.4
2022-07-23 16:42:00,103
2022-07-23 16:42:15,103
2022-07-23 16:42:30,77.1
2022-07-23 16:42:45,77.1
2022-07-23 16:43:00,113
2022-07-23 16:43:15,113
2022-07-23 16:43:30,54.9
2022-07-23 16:43:45,54.9
2022-07-23 16:44:00,78.4
2022-07-23 16:44:15,78.4
2022-07-23 16:44:30,84.0
2022-07-23 16:44:45,84.0
2022-07-23 16:45:00,99.6
2022-07-23 16:45:15,99.6
2022-07-23 16:45:30,90.6
2022-07-23 16:45:45,90.6
2022-07-23 16:46:00,108
2022-07-23 16:46:15,108
2022-07-23 16:46:30,82.2
2022-07-23 16:46:45,82.2
2022-07-23 16:47:00,106
2022-07-23 16:47:15,106
2022-07-23 16:47:30,113
2022-07-23 16:47:45,113
2022-07-23 16:48:00,80.9
2022-07-23 16:48:15,80.9
2022-07-23 16:48:30,95.5
2022-07-23 16:48:45,95.5
2022-07-23 16:49:00,95.1
2022-07-23 16:49:15,95.1
2022-07-23 16:49:30,62.9
2022-07-23 16:49:45,62.9
2022-07-23 16:50:00,82.2
2022-07-23 16:50:15,82.2
2022-07-23 16:50:30,113
2022-07-23 16:50:45,113
2022-07-23 16:51:00,84.8
2022-07-23 16:51:15,84.8
2022-07-23 16:51:30,92.5
2022-07-23 16:51:45,92.5
2022-07-23 16:52:00,89.8
2022-07-23 16:52:15,89.8
2022-07-23 16:52:30,82.0
