"Time","{container=""POD"", endpoint=""https-metrics"", id=""/kubepods/besteffort/pod0bb3f962-5152-4ced-97b2-9e6237b26fae/239594b0f806d927c2611f18837becefaf6a426fd086f88ebf262a77d3456ddb"", image=""k8s.gcr.io/pause:3.4.1"", instance=""10.0.1.67:10250"", interface=""net2"", job=""kubelet"", metrics_path=""/metrics/cadvisor"", name=""k8s_POD_oai-spgwu3-5fd5bb6d57-8gz5z_oai_0bb3f962-5152-4ced-97b2-9e6237b26fae_0"", namespace=""oai"", node=""soc-worker3"", pod=""oai-spgwu3-5fd5bb6d57-8gz5z"", service=""kubelet""}","{container=""POD"", endpoint=""https-metrics"", id=""/kubepods/besteffort/podc69f649d-4f72-4a9a-96b4-c8b599827bcf/d27825140189dcb26856030875f76f4adc80a8ca51ad449c32269d70fede1d53"", image=""k8s.gcr.io/pause:3.4.1"", instance=""10.0.1.67:10250"", interface=""net2"", job=""kubelet"", metrics_path=""/metrics/cadvisor"", name=""k8s_POD_oai-spgwu2-5fd5bb6d57-gr94d_oai_c69f649d-4f72-4a9a-96b4-c8b599827bcf_0"", namespace=""oai"", node=""soc-worker3"", pod=""oai-spgwu2-5fd5bb6d57-gr94d"", service=""kubelet""}","{container=""POD"", endpoint=""https-metrics"", id=""/kubepods/besteffort/pode7afdce1-16a1-49a0-8c32-9f0538ec8412/05ce34a244f03d157eeed1902d122f60bd823aee4aa0dfd54412062e63204a35"", image=""k8s.gcr.io/pause:3.4.1"", instance=""10.0.1.67:10250"", interface=""net2"", job=""kubelet"", metrics_path=""/metrics/cadvisor"", name=""k8s_POD_oai-spgwu-5fd5bb6d57-rhrxg_oai_e7afdce1-16a1-49a0-8c32-9f0538ec8412_0"", namespace=""oai"", node=""soc-worker3"", pod=""oai-spgwu-5fd5bb6d57-rhrxg"", service=""kubelet""}"
2022-07-25 13:28:45,0.533,0.567,0.467
2022-07-25 13:29:00,0.700,0.800,0.833
2022-07-25 13:29:15,0.700,0.800,0.833
2022-07-25 13:29:30,36.0,33.9,43.2
2022-07-25 13:29:45,48.3,45.4,43.2
2022-07-25 13:30:00,37.3,69.1,60.7
2022-07-25 13:30:15,37.3,69.1,60.7
2022-07-25 13:30:30,90.9,74.9,74.5
2022-07-25 13:30:45,90.9,74.9,74.5
2022-07-25 13:31:00,54.2,34.1,60.1
2022-07-25 13:31:15,54.2,34.1,60.1
2022-07-25 13:31:30,60.6,84.2,50.5
2022-07-25 13:31:45,60.6,84.2,50.5
2022-07-25 13:32:00,64.1,52.0,54.4
2022-07-25 13:32:15,64.1,52.0,54.4
2022-07-25 13:32:30,42.7,54.3,59.0
2022-07-25 13:32:45,42.7,54.3,59.0
2022-07-25 13:33:00,49.9,46.8,48.6
2022-07-25 13:33:15,49.9,46.8,48.6
2022-07-25 13:33:30,48.3,42.3,47.9
2022-07-25 13:33:45,48.3,42.3,47.9
2022-07-25 13:34:00,46.5,37.0,39.0
2022-07-25 13:34:15,46.5,37.0,39.0
2022-07-25 13:34:30,41.9,46.5,50.7
2022-07-25 13:34:45,41.9,46.5,50.7
2022-07-25 13:35:00,45.6,53.7,36.2
2022-07-25 13:35:15,45.6,53.7,36.2
2022-07-25 13:35:30,53.6,43.8,65.3
2022-07-25 13:35:45,53.6,43.8,65.3
2022-07-25 13:36:00,33.4,51.2,28.1
2022-07-25 13:36:15,33.4,51.2,28.1
2022-07-25 13:36:30,77.1,67.9,82.0
2022-07-25 13:36:45,77.1,67.9,82.0
2022-07-25 13:37:00,79.1,41.8,78.2
2022-07-25 13:37:15,79.1,41.8,78.2
2022-07-25 13:37:30,76.6,105,74.6
2022-07-25 13:37:45,76.6,105,74.6
2022-07-25 13:38:00,71.4,40.9,41.6
2022-07-25 13:38:15,71.4,40.9,41.6
2022-07-25 13:38:30,29.4,83.2,70.8
2022-07-25 13:38:45,29.4,83.2,70.8
2022-07-25 13:39:00,142,107,84.3
2022-07-25 13:39:15,142,107,84.3
2022-07-25 13:39:30,83.1,91.4,105
2022-07-25 13:39:45,83.1,91.4,105
2022-07-25 13:40:00,101,73.2,96.5
2022-07-25 13:40:15,101,73.2,96.5
2022-07-25 13:40:30,86.1,129,98.2
2022-07-25 13:40:45,86.1,129,98.2
2022-07-25 13:41:00,91.0,60.2,99.1
2022-07-25 13:41:15,91.0,60.2,99.1
2022-07-25 13:41:30,94.6,114,96.2
2022-07-25 13:41:45,94.6,114,96.2
2022-07-25 13:42:00,89.6,78.6,94.1
2022-07-25 13:42:15,89.6,78.6,94.1
2022-07-25 13:42:30,80.5,91.6,84.3
2022-07-25 13:42:45,80.5,91.6,84.3
2022-07-25 13:43:00,100,73.3,86.1
2022-07-25 13:43:15,100,73.3,86.1
2022-07-25 13:43:30,88.7,88.1,90.3
2022-07-25 13:43:45,88.7,88.1,90.3
2022-07-25 13:44:00,79.3,108,97.7
2022-07-25 13:44:15,79.3,109,97.7
2022-07-25 13:44:30,81.7,91.0,76.8
2022-07-25 13:44:45,81.7,91.0,76.8
2022-07-25 13:45:00,81.0,103,93.9
2022-07-25 13:45:15,81.0,103,93.9
2022-07-25 13:45:30,93.3,76.7,103
2022-07-25 13:45:45,93.3,76.7,103
2022-07-25 13:46:00,137,85.4,95.9
2022-07-25 13:46:15,137,85.4,95.9
2022-07-25 13:46:30,96.0,130,94.7
2022-07-25 13:46:45,96.0,130,94.7
2022-07-25 13:47:00,81.5,39.6,86.4
2022-07-25 13:47:15,81.5,39.6,86.4
2022-07-25 13:47:30,84.2,109,72.7
2022-07-25 13:47:45,84.2,109,72.7
2022-07-25 13:48:00,60.6,80.1,99.9
2022-07-25 13:48:15,60.6,80.1,99.9
2022-07-25 13:48:30,123,117,118
2022-07-25 13:48:45,123,117,118
2022-07-25 13:49:00,84.7,97.1,87.1
2022-07-25 13:49:15,84.7,97.1,87.1
2022-07-25 13:49:30,92.1,88.4,77.1
2022-07-25 13:49:45,92.1,88.4,77.1
2022-07-25 13:50:00,114,83.2,99.1
2022-07-25 13:50:15,114,83.2,99.1
2022-07-25 13:50:30,56.5,98.0,98.9
2022-07-25 13:50:45,56.5,98.0,98.9
2022-07-25 13:51:00,86.5,69.4,43.0
2022-07-25 13:51:15,86.5,69.4,43.0
2022-07-25 13:51:30,68.0,78.0,98.9
2022-07-25 13:51:45,68.0,78,98.9
2022-07-25 13:52:00,102,91.0,96.3
2022-07-25 13:52:15,102,91.0,96.3
2022-07-25 13:52:30,71.7,69.3,70.2
2022-07-25 13:52:45,71.7,69.3,70.2
2022-07-25 13:53:00,83.7,80.2,54.2
2022-07-25 13:53:15,83.7,80.2,54.2
2022-07-25 13:53:30,43.5,57.5,94.6
2022-07-25 13:53:45,43.5,57.5,94.6
2022-07-25 13:54:00,70.4,78.3,70.0
2022-07-25 13:54:15,70.4,78.3,70.0
2022-07-25 13:54:30,72.4,62.4,67.5
2022-07-25 13:54:45,72.4,62.4,67.5
2022-07-25 13:55:00,64.4,58.3,46.3
2022-07-25 13:55:15,64.4,58.3,46.3
2022-07-25 13:55:30,63.6,53.8,58.9
2022-07-25 13:55:45,63.6,53.8,58.9
2022-07-25 13:56:00,39.6,44.2,30.2
