"Time","sum(rate(container_network_receive_packets_total{container=""POD"", interface=""net2"", job=""kubelet"", pod=~""oai-spgwu.*"",namespace=""oai""}[1m]))

"
2022-07-25 13:28:45,1.57
2022-07-25 13:29:00,2.33
2022-07-25 13:29:15,2.33
2022-07-25 13:29:30,113
2022-07-25 13:29:45,137
2022-07-25 13:30:00,167
2022-07-25 13:30:15,167
2022-07-25 13:30:30,240
2022-07-25 13:30:45,240
2022-07-25 13:31:00,148
2022-07-25 13:31:15,148
2022-07-25 13:31:30,195
2022-07-25 13:31:45,195
2022-07-25 13:32:00,171
2022-07-25 13:32:15,171
2022-07-25 13:32:30,156
2022-07-25 13:32:45,156
2022-07-25 13:33:00,145
2022-07-25 13:33:15,145
2022-07-25 13:33:30,138
2022-07-25 13:33:45,138
2022-07-25 13:34:00,122
2022-07-25 13:34:15,122
2022-07-25 13:34:30,139
2022-07-25 13:34:45,139
2022-07-25 13:35:00,135
2022-07-25 13:35:15,135
2022-07-25 13:35:30,163
2022-07-25 13:35:45,163
2022-07-25 13:36:00,113
2022-07-25 13:36:15,113
2022-07-25 13:36:30,227
2022-07-25 13:36:45,227
2022-07-25 13:37:00,199
2022-07-25 13:37:15,199
2022-07-25 13:37:30,256
2022-07-25 13:37:45,256
2022-07-25 13:38:00,154
2022-07-25 13:38:15,154
2022-07-25 13:38:30,183
2022-07-25 13:38:45,183
2022-07-25 13:39:00,333
2022-07-25 13:39:15,333
2022-07-25 13:39:30,279
2022-07-25 13:39:45,279
2022-07-25 13:40:00,271
2022-07-25 13:40:15,271
2022-07-25 13:40:30,314
2022-07-25 13:40:45,314
2022-07-25 13:41:00,250
2022-07-25 13:41:15,250
2022-07-25 13:41:30,305
2022-07-25 13:41:45,305
2022-07-25 13:42:00,262
2022-07-25 13:42:15,262
2022-07-25 13:42:30,256
2022-07-25 13:42:45,256
2022-07-25 13:43:00,260
2022-07-25 13:43:15,260
2022-07-25 13:43:30,267
2022-07-25 13:43:45,267
2022-07-25 13:44:00,286
2022-07-25 13:44:15,286
2022-07-25 13:44:30,250
2022-07-25 13:44:45,250
2022-07-25 13:45:00,277
2022-07-25 13:45:15,278
2022-07-25 13:45:30,273
2022-07-25 13:45:45,273
2022-07-25 13:46:00,318
2022-07-25 13:46:15,319
2022-07-25 13:46:30,321
2022-07-25 13:46:45,321
2022-07-25 13:47:00,207
2022-07-25 13:47:15,208
2022-07-25 13:47:30,266
2022-07-25 13:47:45,266
2022-07-25 13:48:00,241
2022-07-25 13:48:15,241
2022-07-25 13:48:30,357
2022-07-25 13:48:45,358
2022-07-25 13:49:00,269
2022-07-25 13:49:15,269
2022-07-25 13:49:30,258
2022-07-25 13:49:45,258
2022-07-25 13:50:00,296
2022-07-25 13:50:15,296
2022-07-25 13:50:30,253
2022-07-25 13:50:45,253
2022-07-25 13:51:00,199
2022-07-25 13:51:15,199
2022-07-25 13:51:30,245
2022-07-25 13:51:45,245
2022-07-25 13:52:00,290
2022-07-25 13:52:15,290
2022-07-25 13:52:30,211
2022-07-25 13:52:45,211
2022-07-25 13:53:00,218
2022-07-25 13:53:15,218
2022-07-25 13:53:30,196
2022-07-25 13:53:45,196
2022-07-25 13:54:00,219
2022-07-25 13:54:15,219
2022-07-25 13:54:30,202
2022-07-25 13:54:45,202
2022-07-25 13:55:00,169
2022-07-25 13:55:15,169
2022-07-25 13:55:30,176
2022-07-25 13:55:45,176
2022-07-25 13:56:00,114
2022-07-25 13:56:15,114
2022-07-25 13:56:30,169
2022-07-25 13:56:45,170
2022-07-25 13:57:00,120
2022-07-25 13:57:15,120
2022-07-25 13:57:30,109
2022-07-25 13:57:45,110
2022-07-25 13:58:00,104
2022-07-25 13:58:15,104
2022-07-25 13:58:30,91.7
2022-07-25 13:58:45,91.7
2022-07-25 13:59:00,114
2022-07-25 13:59:15,114
2022-07-25 13:59:30,111
2022-07-25 13:59:45,111
2022-07-25 14:00:00,82.1
2022-07-25 14:00:15,82.1
2022-07-25 14:00:30,136
2022-07-25 14:00:45,136
2022-07-25 14:01:00,90.4
2022-07-25 14:01:15,90.4
2022-07-25 14:01:30,157
2022-07-25 14:01:45,157
2022-07-25 14:02:00,144
2022-07-25 14:02:15,144
2022-07-25 14:02:30,196
2022-07-25 14:02:45,196
2022-07-25 14:03:00,150
2022-07-25 14:03:15,150
2022-07-25 14:03:30,293
2022-07-25 14:03:45,293
2022-07-25 14:04:00,242
2022-07-25 14:04:15,242
2022-07-25 14:04:30,240
2022-07-25 14:04:45,240
2022-07-25 14:05:00,276
2022-07-25 14:05:15,276
2022-07-25 14:05:30,350
2022-07-25 14:05:45,350
2022-07-25 14:06:00,183
2022-07-25 14:06:15,183
2022-07-25 14:06:30,273
2022-07-25 14:06:45,273
2022-07-25 14:07:00,219
2022-07-25 14:07:15,219
2022-07-25 14:07:30,319
2022-07-25 14:07:45,319
2022-07-25 14:08:00,263
2022-07-25 14:08:15,263
2022-07-25 14:08:30,242
2022-07-25 14:08:45,242
2022-07-25 14:09:00,278
2022-07-25 14:09:15,278
2022-07-25 14:09:30,330
2022-07-25 14:09:45,330
2022-07-25 14:10:00,224
2022-07-25 14:10:15,224
2022-07-25 14:10:30,395
2022-07-25 14:10:45,395
2022-07-25 14:11:00,300
2022-07-25 14:11:15,300
2022-07-25 14:11:30,315
2022-07-25 14:11:45,315
2022-07-25 14:12:00,265
2022-07-25 14:12:15,265
2022-07-25 14:12:30,251
2022-07-25 14:12:45,251
2022-07-25 14:13:00,291
2022-07-25 14:13:15,291
2022-07-25 14:13:30,325
2022-07-25 14:13:45,325
2022-07-25 14:14:00,313
2022-07-25 14:14:15,313
2022-07-25 14:14:30,320
2022-07-25 14:14:45,320
2022-07-25 14:15:00,270
2022-07-25 14:15:15,270
2022-07-25 14:15:30,268
2022-07-25 14:15:45,268
2022-07-25 14:16:00,299
2022-07-25 14:16:15,299
2022-07-25 14:16:30,234
2022-07-25 14:16:45,234
2022-07-25 14:17:00,325
2022-07-25 14:17:15,325
2022-07-25 14:17:30,236
2022-07-25 14:17:45,236
2022-07-25 14:18:00,226
2022-07-25 14:18:15,226
2022-07-25 14:18:30,263
2022-07-25 14:18:45,263
2022-07-25 14:19:00,214
2022-07-25 14:19:15,214
2022-07-25 14:19:30,157
2022-07-25 14:19:45,157
2022-07-25 14:20:00,184
2022-07-25 14:20:15,184
2022-07-25 14:20:30,157
2022-07-25 14:20:45,157
2022-07-25 14:21:00,174
2022-07-25 14:21:15,174
2022-07-25 14:21:30,137
2022-07-25 14:21:45,137
2022-07-25 14:22:00,147
2022-07-25 14:22:15,147
2022-07-25 14:22:30,123
2022-07-25 14:22:45,123
2022-07-25 14:23:00,153
