"Time","spgwu3","spgwu4"}","spgwu2","spgwu"
2022-07-25 18:00:00,0.567,0.433,0.500,1.63
2022-07-25 18:00:15,0.567,0.433,0.500,1.63
2022-07-25 18:00:30,55.8,50.3,38.3,32.2
2022-07-25 18:00:45,55.8,50.3,38.3,32.2
2022-07-25 18:01:00,50.6,61.9,59.5,62.3
2022-07-25 18:01:15,50.6,61.9,59.5,62.3
2022-07-25 18:01:30,49.7,46.8,41.6,49.9
2022-07-25 18:01:45,49.7,46.8,41.6,49.9
2022-07-25 18:02:00,41.3,41.1,61.8,51.6
2022-07-25 18:02:15,41.3,41.1,61.8,51.6
2022-07-25 18:02:30,34.0,26.0,43.7,45.8
2022-07-25 18:02:45,34.0,26.0,43.7,45.8
2022-07-25 18:03:00,49.4,45.7,42.0,47.9
2022-07-25 18:03:15,49.4,45.7,42.0,47.9
2022-07-25 18:03:30,43.6,54.3,34.7,35.6
2022-07-25 18:03:45,43.6,54.3,34.7,35.6
2022-07-25 18:04:00,35.5,31.7,35.9,18.4
2022-07-25 18:04:15,35.5,31.7,35.9,18.4
2022-07-25 18:04:30,36.2,30.3,36.5,39.1
2022-07-25 18:04:45,36.2,30.3,36.5,39.1
2022-07-25 18:05:00,19.3,38.6,18.7,38.9
2022-07-25 18:05:15,19.3,38.6,18.7,38.9
2022-07-25 18:05:30,34.4,17.8,35.2,32.2
2022-07-25 18:05:45,34.4,17.8,35.2,32.2
2022-07-25 18:06:00,44.0,44.9,38.2,37.0
2022-07-25 18:06:15,44.0,44.9,38.2,37
2022-07-25 18:06:30,37.8,44.7,41.2,44.4
2022-07-25 18:06:45,37.8,44.7,41.2,44.4
2022-07-25 18:07:00,31.0,38.4,42.8,38.1
2022-07-25 18:07:15,31.0,38.4,42.8,38.1
2022-07-25 18:07:30,58.8,53.7,26.3,38.2
2022-07-25 18:07:45,58.8,53.7,26.3,38.2
2022-07-25 18:08:00,53.2,36.1,84.4,60.9
2022-07-25 18:08:15,53.2,36.1,84.4,60.9
2022-07-25 18:08:30,47.2,66.2,51.8,42.7
2022-07-25 18:08:45,47.2,66.2,51.8,42.7
2022-07-25 18:09:00,46.7,47.4,45.9,57.6
2022-07-25 18:09:15,46.7,47.4,45.9,57.6
2022-07-25 18:09:30,84.1,61.8,72.1,58.5
2022-07-25 18:09:45,84.1,61.8,72.1,58.5
2022-07-25 18:10:00,46.0,79.7,70.4,90.3
2022-07-25 18:10:15,46.0,79.7,70.4,90.3
2022-07-25 18:10:30,82.4,54.2,61.4,72.9
2022-07-25 18:10:45,82.4,54.2,61.4,72.9
2022-07-25 18:11:00,63.8,76.1,71.6,70.3
2022-07-25 18:11:15,63.8,76.1,71.6,70.3
2022-07-25 18:11:30,67.9,73.3,79.6,73.8
2022-07-25 18:11:45,67.9,73.3,79.6,73.8
2022-07-25 18:12:00,79.7,74.0,74.1,34.1
2022-07-25 18:12:15,79.7,74.0,74.1,34.1
2022-07-25 18:12:30,67.1,67.7,51.6,99.8
