"Time","{container=""POD"", endpoint=""https-metrics"", id=""/kubepods/besteffort/pod339c179a-11e8-4db8-a2c4-d436c9660c02/c50bfa066e752765c5a93e2f3995b99bbfdb6b09425ac0293f686d402c64dc9d"", image=""k8s.gcr.io/pause:3.4.1"", instance=""10.0.1.67:10250"", interface=""net2"", job=""kubelet"", metrics_path=""/metrics/cadvisor"", name=""k8s_POD_oai-spgwu2-5fd5bb6d57-xsm8m_oai_339c179a-11e8-4db8-a2c4-d436c9660c02_0"", namespace=""oai"", node=""soc-worker3"", pod=""oai-spgwu2-5fd5bb6d57-xsm8m"", service=""kubelet""}"
2022-07-23 20:15:30,0.300
2022-07-23 20:15:45,0.300
2022-07-23 20:16:00,6.19
2022-07-23 20:16:15,7.93
2022-07-23 20:16:30,26.7
2022-07-23 20:16:45,31.6
2022-07-23 20:17:00,78.8
2022-07-23 20:17:15,83.5
2022-07-23 20:17:30,48.3
2022-07-23 20:17:45,48.3
2022-07-23 20:18:00,43.4
2022-07-23 20:18:15,43.4
2022-07-23 20:18:30,24.8
2022-07-23 20:18:45,24.8
2022-07-23 20:19:00,50.5
2022-07-23 20:19:15,50.5
2022-07-23 20:19:30,34.3
2022-07-23 20:19:45,34.3
2022-07-23 20:20:00,31.5
2022-07-23 20:20:15,31.5
2022-07-23 20:20:30,49.5
2022-07-23 20:20:45,49.5
2022-07-23 20:21:00,35.1
2022-07-23 20:21:15,35.1
2022-07-23 20:21:30,19.4
2022-07-23 20:21:45,19.4
2022-07-23 20:22:00,47.1
2022-07-23 20:22:15,47.1
2022-07-23 20:22:30,38.5
2022-07-23 20:22:45,38.5
2022-07-23 20:23:00,22.0
2022-07-23 20:23:15,22.0
2022-07-23 20:23:30,58.1
2022-07-23 20:23:45,58.1
2022-07-23 20:24:00,56.6
2022-07-23 20:24:15,56.6
2022-07-23 20:24:30,44.7
2022-07-23 20:24:45,44.7
2022-07-23 20:25:00,48.0
2022-07-23 20:25:15,48.0
2022-07-23 20:25:30,68.2
2022-07-23 20:25:45,68.2
2022-07-23 20:26:00,69.8
2022-07-23 20:26:15,69.8
2022-07-23 20:26:30,79.5
2022-07-23 20:26:45,79.5
2022-07-23 20:27:00,67.5
2022-07-23 20:27:15,67.5
2022-07-23 20:27:30,98.8
2022-07-23 20:27:45,98.8
2022-07-23 20:28:00,53.0
2022-07-23 20:28:15,53
2022-07-23 20:28:30,56.3
2022-07-23 20:28:45,56.3
2022-07-23 20:29:00,89.7
2022-07-23 20:29:15,89.7
2022-07-23 20:29:30,59.4
2022-07-23 20:29:45,59.4
2022-07-23 20:30:00,62.3
2022-07-23 20:30:15,62.3
2022-07-23 20:30:30,63.3
2022-07-23 20:30:45,63.3
2022-07-23 20:31:00,53.3
2022-07-23 20:31:15,53.3
2022-07-23 20:31:30,99.4
2022-07-23 20:31:45,99.4
2022-07-23 20:32:00,64.6
2022-07-23 20:32:15,64.6
2022-07-23 20:32:30,75.4
2022-07-23 20:32:45,75.4
2022-07-23 20:33:00,64.4
2022-07-23 20:33:15,64.4
2022-07-23 20:33:30,66.4
2022-07-23 20:33:45,66.4
2022-07-23 20:34:00,42.4
2022-07-23 20:34:15,42.4
2022-07-23 20:34:30,107
2022-07-23 20:34:45,107
2022-07-23 20:35:00,66.4
2022-07-23 20:35:15,66.4
2022-07-23 20:35:30,65.7
2022-07-23 20:35:45,65.7
2022-07-23 20:36:00,55.8
2022-07-23 20:36:15,55.8
2022-07-23 20:36:30,80.1
2022-07-23 20:36:45,80.1
2022-07-23 20:37:00,70.5
2022-07-23 20:37:15,70.5
2022-07-23 20:37:30,64.9
2022-07-23 20:37:45,64.9
2022-07-23 20:38:00,63.7
2022-07-23 20:38:15,63.7
2022-07-23 20:38:30,57.6
2022-07-23 20:38:45,57.6
2022-07-23 20:39:00,36.6
2022-07-23 20:39:15,36.6
2022-07-23 20:39:30,51.6
2022-07-23 20:39:45,51.6
2022-07-23 20:40:00,83.7
2022-07-23 20:40:15,83.7
2022-07-23 20:40:30,41.2
2022-07-23 20:40:45,41.2
2022-07-23 20:41:00,35.5
2022-07-23 20:41:15,35.5
2022-07-23 20:41:30,67.4
2022-07-23 20:41:45,67.4
2022-07-23 20:42:00,24.2
2022-07-23 20:42:15,24.2
2022-07-23 20:42:30,44.6
2022-07-23 20:42:45,44.6
2022-07-23 20:43:00,32.9
2022-07-23 20:43:15,32.9
2022-07-23 20:43:30,32.2
2022-07-23 20:43:45,32.2
2022-07-23 20:44:00,32.8
