"Time","{container=""POD"", endpoint=""https-metrics"", id=""/kubepods/besteffort/pod04820779-9447-4d53-a7a3-da3d6244a882/a124adbc6c520567adfe77ba77ca8b846d61e6cd538fb91936378527d072a3cb"", image=""k8s.gcr.io/pause:3.4.1"", instance=""10.0.1.67:10250"", interface=""net2"", job=""kubelet"", metrics_path=""/metrics/cadvisor"", name=""k8s_POD_oai-spgwu3-5fd5bb6d57-nn4mk_oai_04820779-9447-4d53-a7a3-da3d6244a882_0"", namespace=""oai"", node=""soc-worker3"", pod=""oai-spgwu3-5fd5bb6d57-nn4mk"", service=""kubelet""}","{container=""POD"", endpoint=""https-metrics"", id=""/kubepods/besteffort/pod492d0d60-cbb4-47c8-a354-b180e4a1ebe4/fe6851ac0bd4b4d83447e757e3195802396c7277df682f7e7ff2800dfb3b47a4"", image=""k8s.gcr.io/pause:3.4.1"", instance=""10.0.1.67:10250"", interface=""net2"", job=""kubelet"", metrics_path=""/metrics/cadvisor"", name=""k8s_POD_oai-spgwu-5fd5bb6d57-9b8wt_oai_492d0d60-cbb4-47c8-a354-b180e4a1ebe4_0"", namespace=""oai"", node=""soc-worker3"", pod=""oai-spgwu-5fd5bb6d57-9b8wt"", service=""kubelet""}","{container=""POD"", endpoint=""https-metrics"", id=""/kubepods/besteffort/pod70cac05e-f479-4d49-808d-f67faed322ce/7dec4a0aade7d7aca5c79940ed7127867f2814cf4a98744b02ff229b7ce46bd6"", image=""k8s.gcr.io/pause:3.4.1"", instance=""10.0.1.67:10250"", interface=""net2"", job=""kubelet"", metrics_path=""/metrics/cadvisor"", name=""k8s_POD_oai-spgwu2-5fd5bb6d57-b46rc_oai_70cac05e-f479-4d49-808d-f67faed322ce_0"", namespace=""oai"", node=""soc-worker3"", pod=""oai-spgwu2-5fd5bb6d57-b46rc"", service=""kubelet""}","{container=""POD"", endpoint=""https-metrics"", id=""/kubepods/besteffort/pod899c0bfc-7700-4984-9828-5e6162425f97/39dc185b1d2bc07d5816e840cafd56bff2f917945a56fd12901b5e855767e3bd"", image=""k8s.gcr.io/pause:3.4.1"", instance=""10.0.1.67:10250"", interface=""net2"", job=""kubelet"", metrics_path=""/metrics/cadvisor"", name=""k8s_POD_oai-spgwu4-5fd5bb6d57-nnmmz_oai_899c0bfc-7700-4984-9828-5e6162425f97_0"", namespace=""oai"", node=""soc-worker3"", pod=""oai-spgwu4-5fd5bb6d57-nnmmz"", service=""kubelet""}","{container=""POD"", endpoint=""https-metrics"", id=""/kubepods/besteffort/pode7454948-7afa-4fbc-b15e-5cf3288f924c/ea7c3dcd55bcaf20fce439a8643fa102203f908d5342572ea748436e2bcd4032"", image=""k8s.gcr.io/pause:3.4.1"", instance=""10.0.1.67:10250"", interface=""net2"", job=""kubelet"", metrics_path=""/metrics/cadvisor"", name=""k8s_POD_oai-spgwu5-5fd5bb6d57-b4trx_oai_e7454948-7afa-4fbc-b15e-5cf3288f924c_0"", namespace=""oai"", node=""soc-worker3"", pod=""oai-spgwu5-5fd5bb6d57-b4trx"", service=""kubelet""}"
2022-07-24 17:29:15,0.300,0.567,0.667,0.700,0.500
2022-07-24 17:29:30,0.767,0.600,0.600,0.467,0.700
2022-07-24 17:29:45,0.767,0.600,0.600,0.467,0.700
2022-07-24 17:30:00,0.400,0.267,0.400,0.567,0.333
2022-07-24 17:30:15,0.400,0.267,0.400,0.567,0.333
2022-07-24 17:30:30,0.500,1.87,14.5,0.367,8.00
2022-07-24 17:30:45,0.500,1.87,14.5,0.367,8
2022-07-24 17:31:00,47.8,60.0,43.5,37.7,46.8
2022-07-24 17:31:15,47.8,60,43.5,37.7,46.8
2022-07-24 17:31:30,47.8,21.8,27.8,56.6,46.9
2022-07-24 17:31:45,47.8,21.8,27.8,56.6,46.9
2022-07-24 17:32:00,41.3,43.5,38.7,42.9,33.5
2022-07-24 17:32:15,41.3,43.5,38.7,42.9,33.5
2022-07-24 17:32:30,40.4,39.0,42.6,39.9,42.9
2022-07-24 17:32:45,40.4,39.0,42.6,39.9,42.9
2022-07-24 17:33:00,21.1,39.8,38.9,28.7,28.0
2022-07-24 17:33:15,21.1,39.8,38.9,28.7,28
2022-07-24 17:33:30,37.7,22.3,36.5,22.4,24.0
2022-07-24 17:33:45,37.7,22.3,36.5,22.4,24
2022-07-24 17:34:00,34.0,32.9,18.0,34.7,39.8
2022-07-24 17:34:15,34.0,32.9,18.0,34.7,39.8
2022-07-24 17:34:30,25.5,34.1,28.5,28.5,26.4
2022-07-24 17:34:45,25.5,34.1,28.5,28.5,26.4
2022-07-24 17:35:00,16.1,17.0,28.4,33.5,17.3
2022-07-24 17:35:15,16.1,17,28.4,33.5,17.3
2022-07-24 17:35:30,36.7,33.5,29.1,23.2,40.2
2022-07-24 17:35:45,36.7,33.5,29.1,23.2,40.2
2022-07-24 17:36:00,27.4,26.2,27.3,25.8,20.4
2022-07-24 17:36:15,27.4,26.2,27.3,25.8,20.4
2022-07-24 17:36:30,27.1,33.5,25.7,25.7,27.0
2022-07-24 17:36:45,27.1,33.5,25.7,25.7,27.0
2022-07-24 17:37:00,35.5,27.3,29.2,36.1,26.7
2022-07-24 17:37:15,35.5,27.3,29.2,36.1,26.7
2022-07-24 17:37:30,29.2,33.0,36.4,31.2,34.3
2022-07-24 17:37:45,29.2,33.0,36.4,31.2,34.3
2022-07-24 17:38:00,44.7,44.0,33.6,42.9,46.6
2022-07-24 17:38:15,44.7,44.0,33.6,42.9,46.6
2022-07-24 17:38:30,45.5,44.4,40.6,50.7,49.7
2022-07-24 17:38:45,45.5,44.4,40.6,50.7,49.7
2022-07-24 17:39:00,39.0,22.6,40.9,34.9,33.0
2022-07-24 17:39:15,39.0,22.6,40.9,34.9,33
2022-07-24 17:39:30,44.0,52.6,57.9,45.6,42.1
2022-07-24 17:39:45,44.0,52.6,57.9,45.6,42.1
2022-07-24 17:40:00,54.7,48.5,44.1,35.5,42.3
2022-07-24 17:40:15,54.7,48.5,44.1,35.5,42.3
2022-07-24 17:40:30,35.8,58.3,63.7,80.4,67.1
2022-07-24 17:40:45,35.8,58.3,63.7,80.4,67.1
2022-07-24 17:41:00,55.3,74.9,66.2,52.6,62.3
2022-07-24 17:41:15,55.3,74.9,66.2,52.6,62.3
2022-07-24 17:41:30,60.2,56.5,36.1,60.0,36.0
2022-07-24 17:41:45,60.2,56.5,36.1,60.0,36
2022-07-24 17:42:00,49.4,52.7,64.1,56.1,66.8
2022-07-24 17:42:15,49.4,52.7,64.1,56.1,66.8
2022-07-24 17:42:30,73.6,37.9,60.0,48.0,72.8
2022-07-24 17:42:45,73.6,37.9,60.0,48,72.8
2022-07-24 17:43:00,51.9,62.6,33.7,57.7,48.2
2022-07-24 17:43:15,51.9,62.6,33.7,57.7,48.2
2022-07-24 17:43:30,49.1,54.1,69.5,55.2,49.9
2022-07-24 17:43:45,49.1,54.1,69.5,55.2,49.9
2022-07-24 17:44:00,60.7,41.5,49.9,58.2,33.4
2022-07-24 17:44:15,60.7,41.5,49.9,58.2,33.4
2022-07-24 17:44:30,61.1,78.7,55.9,44.5,59.6
2022-07-24 17:44:45,61.1,78.7,55.9,44.5,59.6
2022-07-24 17:45:00,55.3,23.7,48.0,43.2,67.9
2022-07-24 17:45:15,55.3,23.7,48,43.2,67.9
2022-07-24 17:45:30,55.5,84.1,76.8,53.4,60.3
2022-07-24 17:45:45,55.5,84.1,76.8,53.4,60.3
2022-07-24 17:46:00,51.5,26.2,54.8,60.3,32.5
2022-07-24 17:46:15,51.5,26.2,54.8,60.3,32.5
2022-07-24 17:46:30,56.6,57.9,50.0,68.4,67.2
2022-07-24 17:46:45,56.6,57.9,50.0,68.4,67.2
2022-07-24 17:47:00,45.6,59.4,45.7,20.1,65.6
